incon_acc,con_acc,perf,num_trials,StudyID
0.9285714285714286,0.9285714285714286,0,28,144
0.9285714285714286,0.8461538461538461,0.08241758241758246,27,145
1,1,0,26,149
1,0.9230769230769232,0.07692307692307687,27,150
0.9285714285714286,1,-0.0714285714285714,28,154
1,1,0,28,160
1,1,0,27,7
1,1,0,28,13
1,1,0,27,16
0.9285714285714286,1,-0.0714285714285714,27,25
0.9285714285714286,1,-0.0714285714285714,28,29
0.9230769230769232,1,-0.07692307692307687,27,32
1,0.9285714285714286,0.0714285714285714,28,40
1,1,0,27,49
0.9285714285714286,1,-0.0714285714285714,28,60
0.2857142857142857,0.8461538461538461,-0.5604395604395604,27,63
0.7857142857142857,1,-0.2142857142857143,28,152
1,0.9285714285714286,0.0714285714285714,27,76
0.7692307692307693,0.7142857142857143,0.05494505494505497,27,81
