FamilyIncome,ParentEducation,FamilyIncomeSimp,ParentEducationSimp,MacArthur1,MacArthur2,StudyID
"$200,000 or more","Doctoral degree (e.g., PhD, EdD)",>200k,Postgrad.,8,7,108
"$200,000 or more","Master's degree (e.g., MA, MS, MEng, MEd, MBA)",>200k,Postgrad.,9,8,123
"$200,000 or more","Bachelor's degree (e.g., BA, AB, BS, BBA)",>200k,Bach.,9,9,144
"$200,000 or more","Master's degree (e.g., MA, MS, MEng, MEd, MBA)",>200k,Postgrad.,7,7,145
"$25,000 through $49,999",High school graduate,25k-50k,High Sch.,3,2,149
"$100,000 through $199,999","Master's degree (e.g., MA, MS, MEng, MEd, MBA)",100k-200k,Postgrad.,5,4,150
"$200,000 or more","Doctoral degree (e.g., PhD, EdD)",>200k,Postgrad.,6,3,154
"$200,000 or more","Master's degree (e.g., MA, MS, MEng, MEd, MBA)",>200k,Postgrad.,5,5,160
"Less than $25,000",High school graduate,<25k,High Sch.,6,8,7
"$200,000 or more","Doctoral degree (e.g., PhD, EdD)",>200k,Postgrad.,7,7,13
"$200,000 or more","Master's degree (e.g., MA, MS, MEng, MEd, MBA)",>200k,Postgrad.,1,7,16
"$200,000 or more","Bachelor's degree (e.g., BA, AB, BS, BBA)",>200k,Bach.,6,5,25
"$200,000 or more","Doctoral degree (e.g., PhD, EdD)",>200k,Postgrad.,7,9,29
"$50,000 through $74,999","Master's degree (e.g., MA, MS, MEng, MEd, MBA)",50k-75k,Postgrad.,5,8,32
"$50,000 through $74,999","Bachelor's degree (e.g., BA, AB, BS, BBA)",50k-75k,Bach.,5,7,40
"$200,000 or more","Associate degree: occupational, technical, or vocational program",>200k,Some Coll.,8,9,49
"$200,000 or more","Doctoral degree (e.g., PhD, EdD)",>200k,Postgrad.,7,8,60
"$200,000 or more","Master's degree (e.g., MA, MS, MEng, MEd, MBA)",>200k,Postgrad.,8,9,63
"$100,000 through $199,999","Master's degree (e.g., MA, MS, MEng, MEd, MBA)",100k-200k,Postgrad.,5,6,152
"$100,000 through $199,999","Master's degree (e.g., MA, MS, MEng, MEd, MBA)",100k-200k,Postgrad.,10,10,76
"$75,000 through $99,999","Doctoral degree (e.g., PhD, EdD)",75k-100k,Postgrad.,6,10,81
"$100,000 through $199,999","Doctoral degree (e.g., PhD, EdD)",100k-200k,Postgrad.,7,9,114
"$25,000 through $49,999","Bachelor's degree (e.g., BA, AB, BS, BBA)",25k-50k,Bach.,5,8,115
Unknown,"Doctoral degree (e.g., PhD, EdD)",Unknown,Postgrad.,7,8,124
Unknown,"Master's degree (e.g., MA, MS, MEng, MEd, MBA)",Unknown,Postgrad.,8,6,136
"$75,000 through $99,999","Master's degree (e.g., MA, MS, MEng, MEd, MBA)",75k-100k,Postgrad.,8,7,138
Unknown,Unknown,Unknown,Unknown,7,8,139
"$100,000 through $199,999","Associate degree: occupational, technical, or vocational program",100k-200k,Some Coll.,6,8,147
"$25,000 through $49,999","Doctoral degree (e.g., PhD, EdD)",25k-50k,Postgrad.,5,7,151
"$200,000 or more","Master's degree (e.g., MA, MS, MEng, MEd, MBA)",>200k,Postgrad.,7,6,156
