"$20, 1 week","$20, 3 months","$20, 1 year","$20, tomorrow","$20, 1 month","$20, 6 months","$200, 1 week","$200, 3 months","$200, 1 year","$200, tomorrow","$200, 1 month","$200, 6 months",auc_20,auc_200,StudyID
19.84375,18.90625,2.34375,19.84375,17.65625,8.28125,189.0625,182.8125,76.5625,195.3125,189.0625,176.5625,0.5315336044520548,0.7724065353881279,87
19.84375,19.84375,19.84375,19.84375,19.84375,19.84375,198.4375,198.4375,198.4375,198.4375,198.4375,198.4375,0.9894691780821918,0.9894691780821918,105
17.03125,13.90625,8.90625,19.84375,17.03125,12.96875,198.4375,189.0625,164.0625,198.4375,195.3125,148.4375,0.6400988156392694,0.8411815068493151,120
19.84375,19.84375,19.84375,14.84375,14.53125,15.78125,192.1875,185.9375,185.9375,198.4375,192.1875,195.3125,0.8805864726027397,0.9500981021689496,122
19.84375,19.84375,19.84375,19.84375,19.84375,19.84375,198.4375,198.4375,198.4375,198.4375,198.4375,198.4375,0.9894691780821918,0.9894691780821918,134
17.34375,8.59375,3.28125,19.84375,8.28125,3.90625,198.4375,120.3125,57.8125,160.9375,120.3125,82.8125,0.2946632420091324,0.4688873430365297,126
19.84375,9.84375,0.78125,19.84375,13.59375,1.40625,182.8125,151.5625,107.8125,179.6875,126.5625,151.5625,0.26525221175799085,0.6940746289954338,14
18.90625,0.15625,0.15625,19.84375,15.15625,0.15625,195.3125,1.5625,176.5625,101.5625,176.5625,189.0625,0.14021832191780825,0.7222353025114155,20
19.84375,9.84375,2.34375,19.84375,9.84375,4.84375,160.9375,48.4375,10.9375,198.4375,48.4375,48.4375,0.32759703196347034,0.22348030821917808,27
19.84375,9.84375,2.34375,19.84375,14.84375,17.03125,98.4375,148.4375,89.0625,198.4375,148.4375,167.1875,0.5849653966894977,0.693072203196347,28
9.84375,4.84375,0.15625,19.84375,4.84375,0.15625,198.4375,85.9375,1.5625,195.3125,101.5625,23.4375,0.11127818207762558,0.24203232020547943,35
18.90625,9.84375,8.90625,19.84375,14.84375,9.84375,198.4375,179.6875,160.9375,198.4375,195.3125,170.3125,0.5303421090182648,0.8685252568493151,47
19.84375,19.84375,17.34375,19.84375,19.84375,18.59375,198.4375,198.4375,173.4375,198.4375,198.4375,185.9375,0.9347816780821918,0.9347816780821918,70
19.84375,4.84375,8.90625,19.84375,18.90625,18.90625,189.0625,189.0625,189.0625,189.0625,189.0625,189.0625,0.6735124143835616,0.942722602739726,85
19.84375,19.53125,19.53125,19.84375,19.53125,19.53125,198.4375,195.3125,48.4375,198.4375,195.3125,195.3125,0.9746450485159815,0.7910512985159817,101
19.84375,17.96875,17.65625,19.84375,19.84375,9.84375,198.4375,98.4375,48.4375,48.4375,48.4375,48.4375,0.7550941780821918,0.3238299086757991,102
18.90625,4.84375,0.15625,19.84375,9.84375,2.34375,98.4375,23.4375,10.9375,173.4375,48.4375,48.4375,0.1994060359589041,0.18381849315068496,109
17.03125,6.09375,4.21875,19.21875,9.21875,2.65625,170.3125,20.3125,1.5625,173.4375,20.3125,20.3125,0.26142622716894975,0.11436215753424656,113
19.84375,19.21875,8.90625,19.84375,18.59375,14.84375,198.4375,185.9375,173.4375,198.4375,192.1875,189.0625,0.7452768264840183,0.924013627283105,118
19.21875,4.84375,1.09375,19.84375,4.21875,0.15625,98.4375,35.9375,1.5625,98.4375,35.9375,1.5625,0.1382794663242009,0.0869345747716895,135
19.84375,19.21875,9.84375,19.84375,19.84375,14.84375,198.4375,198.4375,189.0625,198.4375,198.4375,198.4375,0.7642087614155251,0.9777504280821918,137
19.84375,9.84375,0.15625,19.84375,17.65625,4.84375,198.4375,89.0625,48.4375,198.4375,198.4375,76.5625,0.34533568778538815,0.4595212614155251,142
19.21875,19.21875,18.90625,19.21875,18.90625,18.90625,192.1875,192.1875,189.0625,189.0625,192.1875,192.1875,0.9467358732876712,0.9542701198630136,148
19.84375,9.84375,9.53125,19.53125,19.21875,19.53125,198.4375,195.3125,195.3125,198.4375,192.1875,195.3125,0.7468018692922375,0.972841752283105,153
19.84375,17.96875,19.21875,19.84375,19.53125,18.59375,198.4375,195.3125,192.1875,195.3125,195.3125,195.3125,0.9368846318493153,0.9706103738584476,157
19.53125,16.09375,11.40625,19.84375,18.59375,13.28125,198.4375,182.8125,164.0625,198.4375,189.0625,176.5625,0.7140482305936073,0.883798872716895,158
19.84375,18.28125,9.84375,19.84375,19.84375,19.21875,198.4375,198.4375,198.4375,198.4375,198.4375,198.4375,0.8364743864155251,0.9894691780821918,159
19.84375,19.53125,19.53125,19.84375,19.53125,19.53125,198.4375,195.3125,195.3125,198.4375,195.3125,195.3125,0.9746450485159815,0.9746450485159815,107
18.59375,9.84375,4.84375,19.84375,11.09375,7.65625,189.0625,176.5625,79.6875,198.4375,173.4375,48.4375,0.41627604166666665,0.5206799372146118,161
19.84375,9.84375,9.21875,17.34375,16.71875,8.28125,173.4375,132.8125,82.8125,173.4375,173.4375,167.1875,0.516632776826484,0.6974939355022831,12
19.53125,4.84375,0.78125,19.84375,7.34375,1.09375,185.9375,76.5625,20.3125,195.3125,48.4375,48.4375,0.17061394121004567,0.26940460901826485,15
14.84375,8.28125,4.84375,19.21875,9.84375,8.90625,189.0625,92.1875,73.4375,195.3125,98.4375,89.0625,0.4084118150684932,0.4577411529680365,17
18.90625,4.84375,2.34375,19.84375,14.84375,4.84375,198.4375,179.6875,48.4375,198.4375,185.9375,167.1875,0.3024775256849315,0.7166309931506849,30
19.84375,8.90625,0.15625,18.59375,9.53125,4.84375,198.4375,107.8125,10.9375,198.4375,198.4375,98.4375,0.2881706621004566,0.4731931364155251,39
19.21875,13.28125,3.59375,19.84375,18.28125,12.34375,195.3125,176.5625,114.0625,198.4375,189.0625,151.5625,0.567084046803653,0.7672838184931507,53
19.84375,9.84375,2.34375,19.84375,15.15625,4.84375,189.0625,151.5625,95.3125,198.4375,151.5625,98.4375,0.35825306792237444,0.5952964469178081,54
14.84375,0.15625,0.15625,19.53125,9.84375,0.15625,195.3125,48.4375,1.5625,198.4375,198.4375,23.4375,0.10124857305936072,0.25837079052511414,71
19.84375,19.84375,19.84375,19.84375,19.84375,19.84375,198.4375,198.4375,198.4375,198.4375,198.4375,198.4375,0.9894691780821918,0.9894691780821918,80
19.53125,18.90625,17.65625,19.21875,19.21875,19.53125,198.4375,198.4375,198.4375,198.4375,198.4375,198.4375,0.9420073487442924,0.9894691780821918,84
19.84375,4.84375,0.15625,19.84375,4.84375,0.15625,198.4375,73.4375,1.5625,192.1875,173.4375,23.4375,0.1314265839041096,0.27035887557077626,92
19.84375,19.84375,19.53125,19.84375,19.84375,19.84375,198.4375,198.4375,195.3125,198.4375,198.4375,198.4375,0.9855629280821918,0.9855629280821918,93
19.84375,0.15625,10.78125,19.84375,17.03125,0.15625,101.5625,1.5625,10.9375,104.6875,176.5625,23.4375,0.2857395119863014,0.18589647545662105,94
19.84375,9.84375,4.84375,19.21875,17.34375,14.84375,98.4375,135.9375,95.3125,48.4375,192.1875,92.1875,0.5893692922374429,0.5663206335616439,98
19.53125,2.96875,1.09375,19.84375,19.84375,1.09375,148.4375,48.4375,1.5625,195.3125,195.3125,120.3125,0.22712079052511416,0.4286351312785388,99
19.84375,9.84375,0.15625,19.84375,14.84375,1.09375,198.4375,151.5625,1.5625,198.4375,198.4375,1.5625,0.2587935216894977,0.32540667808219176,100
14.84375,1.09375,0.15625,19.84375,2.34375,0.15625,198.4375,1.5625,1.5625,198.4375,23.4375,26.5625,0.06786351312785388,0.1150470890410959,106
19.21875,9.53125,6.40625,18.59375,14.84375,14.84375,195.3125,173.4375,192.1875,198.4375,189.0625,179.6875,0.5897028396118722,0.9144192351598174,110
19.84375,17.03125,4.84375,19.84375,17.34375,14.21875,198.4375,170.3125,151.5625,198.4375,182.8125,170.3125,0.6527771832191781,0.8398276969178082,127
19.84375,19.21875,19.84375,19.84375,19.84375,19.53125,195.3125,198.4375,195.3125,198.4375,195.3125,195.3125,0.9770993864155252,0.9772706192922376,128
14.84375,4.84375,3.90625,16.09375,9.84375,0.15625,164.0625,10.9375,1.5625,176.5625,23.4375,1.5625,0.195539026826484,0.07011272831050228,11
19.84375,18.59375,9.84375,19.84375,19.21875,19.53125,195.3125,192.1875,195.3125,198.4375,195.3125,198.4375,0.841982377283105,0.9766195776255708,23
19.84375,9.84375,9.84375,19.84375,19.53125,9.84375,198.4375,192.1875,195.3125,198.4375,198.4375,98.4375,0.5709992151826484,0.7915525114155251,31
19.84375,9.84375,9.84375,19.84375,9.53125,9.84375,198.4375,189.0625,189.0625,189.0625,189.0625,189.0625,0.5132937357305936,0.9446115154109588,41
19.84375,9.84375,9.84375,19.84375,14.84375,9.84375,198.4375,120.3125,64.0625,198.4375,170.3125,70.3125,0.5439497716894977,0.48365617865296806,44
19.84375,19.84375,19.21875,19.84375,19.84375,19.53125,198.4375,198.4375,192.1875,198.4375,198.4375,198.4375,0.9757973030821918,0.9816566780821918,52
16.09375,4.84375,2.03125,19.84375,12.03125,7.96875,189.0625,114.0625,89.0625,195.3125,170.3125,98.4375,0.3352686215753425,0.5591127996575342,59
19.84375,9.84375,0.46875,19.84375,9.21875,1.09375,48.4375,192.1875,10.9375,198.4375,4.6875,4.6875,0.2302404394977169,0.2432755422374429,61
19.84375,19.84375,19.84375,19.84375,19.84375,19.84375,198.4375,198.4375,198.4375,198.4375,198.4375,198.4375,0.9894691780821918,0.9894691780821918,65
19.84375,19.84375,14.84375,19.84375,19.84375,19.84375,198.4375,198.4375,98.4375,198.4375,198.4375,198.4375,0.9269691780821918,0.8644691780821918,72
19.84375,19.84375,7.65625,19.84375,19.84375,5.15625,198.4375,198.4375,10.9375,198.4375,198.4375,48.4375,0.5617348030821918,0.47384417808219176,88
19.53125,14.84375,9.84375,19.84375,15.15625,17.65625,198.4375,192.1875,192.1875,198.4375,192.1875,123.4375,0.7436911386986301,0.8309146689497717,108
19.84375,19.53125,4.84375,19.84375,19.84375,19.84375,198.4375,198.4375,192.1875,198.4375,198.4375,198.4375,0.7987139697488584,0.9816566780821918,123
19.84375,9.84375,1.09375,19.84375,9.84375,4.84375,198.4375,189.0625,98.4375,195.3125,189.0625,195.3125,0.31197203196347034,0.8433058647260274,144
15.15625,7.34375,1.09375,19.84375,13.90625,4.84375,173.4375,176.5625,10.9375,198.4375,198.4375,17.1875,0.2999286529680365,0.38742686929223746,145
19.84375,19.84375,19.84375,19.84375,19.84375,19.84375,198.4375,198.4375,198.4375,198.4375,198.4375,198.4375,0.9894691780821918,0.9894691780821918,149
19.84375,19.84375,14.84375,19.84375,19.84375,18.59375,198.4375,198.4375,189.0625,198.4375,198.4375,198.4375,0.9035316780821918,0.9777504280821918,150
9.84375,4.53125,4.21875,19.53125,8.90625,4.84375,192.1875,157.8125,76.5625,173.4375,173.4375,157.8125,0.27000927511415523,0.7019228025114155,154
19.84375,9.84375,4.84375,19.84375,9.84375,19.84375,198.4375,98.4375,73.4375,198.4375,98.4375,98.4375,0.6400970319634703,0.48384703196347034,160
